start_node,end_node,length_m,street_id,street_name,highway_type,pipe_type,building_served,temperature_c,flow_direction,follows_street
"(455808.5517994681, 5734232.1306317765)","(455838.8886629147, 5734242.37523851)",32.01995082595322,406,Street_406,residential,supply,444,70,plant_to_building,True
"(455821.06830623886, 5733877.557368377)","(455854.1779794977, 5733872.350842801)",33.516538781389436,409,Street_409,residential,supply,463,70,plant_to_building,True
"(455821.47119239805, 5734084.766259576)","(455832.6560570223, 5734048.052818879)",38.37939453041785,400,Street_400,residential,supply,468,70,plant_to_building,True
"(455837.17656830855, 5734258.084127825)","(455900.45579768607, 5734275.069692866)",65.51923603324784,939,Street_939,residential,supply,473,70,plant_to_building,True
"(455838.8886629147, 5734242.37523851)","(455840.59455326205, 5734246.419995466)",4.389774562955505,406,Street_406,residential,supply,478,70,plant_to_building,True
"(455807.74184755306, 5733549.90507951)","(455830.57482365024, 5733594.339385785)",49.95750565834798,899,Street_899,residential,supply,482,70,plant_to_building,True
"(455830.57482365024, 5733594.339385785)","(455839.6473503521, 5733589.777451378)",10.154899619800297,1050,Street_1050,residential,supply,482,70,plant_to_building,True
"(455821.73902796005, 5734315.1112421)","(455886.1607160648, 5734333.365684685)",66.9580359059122,713,Street_713,residential,supply,489,70,plant_to_building,True
"(455886.1607160648, 5734333.365684685)","(455885.6842005972, 5734342.790632289)",9.436985976547055,714,Street_714,residential,supply,489,70,plant_to_building,True
"(455792.1080119887, 5733491.2153564915)","(455857.54690738604, 5733456.5508813085)",74.05318946904876,1018,Street_1018,residential,supply,497,70,plant_to_building,True
"(455830.57482365024, 5733594.339385785)","(455845.7103477016, 5733623.8370156735)",33.15409865069974,697,Street_697,residential,supply,499,70,plant_to_building,True
"(455845.7103477016, 5733623.8370156735)","(455856.2436671589, 5733645.744990222)",24.30864388674214,697,Street_697,residential,supply,499,70,plant_to_building,True
"(455688.01168972417, 5734057.142788686)","(455705.69574126997, 5734080.578056022)",29.358770992192095,522,Street_522,residential,supply,501,70,plant_to_building,True
"(455705.69574126997, 5734080.578056022)","(455708.5116804092, 5734084.45728937)",4.793533624110697,634,Street_634,residential,supply,501,70,plant_to_building,True
"(455708.5116804092, 5734084.45728937)","(455875.9592437836, 5734137.276137584)",175.58051488332686,634,Street_634,residential,supply,501,70,plant_to_building,True
"(455873.9354460023, 5733707.809240766)","(455877.96135003946, 5733715.048085245)",8.283041272019293,266,Street_266,residential,supply,511,70,plant_to_building,True
"(455875.9592437836, 5734137.276137584)","(455883.63612990733, 5734134.250280235)",8.251690326995993,784,Street_784,residential,supply,516,70,plant_to_building,True
"(455883.63612990733, 5734134.250280235)","(455891.31102211773, 5734123.116139624)",13.523056517666712,784,Street_784,residential,supply,516,70,plant_to_building,True
"(455839.6473503521, 5733589.777451378)","(455852.1730240744, 5733613.725610757)",27.026040032492304,1052,Street_1052,residential,supply,519,70,plant_to_building,True
"(455821.47119239805, 5734084.766259576)","(455917.40690519643, 5734082.535127638)",95.96165348648233,401,Street_401,residential,supply,531,70,plant_to_building,True
"(455852.1730240744, 5733613.725610757)","(455859.49556752644, 5733628.465478596)",16.45853415462443,228,Street_228,residential,supply,540,70,plant_to_building,True
"(455826.4627077385, 5733969.192912894)","(455922.22037384036, 5733973.970647564)",95.87678220429426,588,Street_588,residential,supply,549,70,plant_to_building,True
"(455922.22037384036, 5733973.970647564)","(455925.7492052405, 5733970.981171165)",4.62489137103157,588,Street_588,residential,supply,549,70,plant_to_building,True
"(455925.7492052405, 5733970.981171165)","(455925.5901925232, 5733948.871013421)",22.110729533646186,588,Street_588,residential,supply,549,70,plant_to_building,True
"(455859.49556752644, 5733628.465478596)","(455876.5383040328, 5733661.361091575)",37.04829578872755,356,Street_356,residential,supply,570,70,plant_to_building,True
"(455891.31102211773, 5734123.116139624)","(455903.0645148057, 5734115.02722637)",14.26797490898533,784,Street_784,residential,supply,577,70,plant_to_building,True
"(455856.2436671589, 5733645.744990222)","(455860.81073284184, 5733654.858781279)",10.19408045786698,697,Street_697,residential,supply,603,70,plant_to_building,True
"(455860.81073284184, 5733654.858781279)","(455884.4820552629, 5733702.111094483)",52.84990641714314,697,Street_697,residential,supply,603,70,plant_to_building,True
"(455884.4820552629, 5733702.111094483)","(455898.1814400712, 5733704.849586196)",13.970414488791532,695,Street_695,residential,supply,603,70,plant_to_building,True
"(455857.54690738604, 5733456.5508813085)","(455912.6338189888, 5733428.4956664955)",61.81959970860997,1018,Street_1018,residential,supply,613,70,plant_to_building,True
"(455876.5383040328, 5733661.361091575)","(455890.4976397222, 5733689.823642636)",31.701417409830846,356,Street_356,residential,supply,626,70,plant_to_building,True
"(455890.4976397222, 5733689.823642636)","(455893.7363362423, 5733686.002501049)",5.009019681978901,1108,Street_1108,residential,supply,626,70,plant_to_building,True
"(455917.40690519643, 5734082.535127638)","(455924.9410269696, 5734058.45567017)",25.230601714244674,401,Street_401,residential,supply,637,70,plant_to_building,True
"(455813.8364283603, 5734345.077922924)","(455875.5270675421, 5734400.649999677)",83.03005887792271,636,Street_636,residential,supply,643,70,plant_to_building,True
"(455875.5270675421, 5734400.649999677)","(455883.4518322225, 5734407.053858681)",10.188783311879355,806,Street_806,residential,supply,643,70,plant_to_building,True
"(455883.4518322225, 5734407.053858681)","(455898.81284849346, 5734410.589712043)",15.762711691777904,806,Street_806,residential,supply,643,70,plant_to_building,True
"(455898.81284849346, 5734410.589712043)","(455906.9420047919, 5734417.48120792)",10.65719932941615,806,Street_806,residential,supply,643,70,plant_to_building,True
"(455906.9420047919, 5734417.48120792)","(455911.9565483094, 5734427.3363349335)",11.05753928941135,806,Street_806,residential,supply,643,70,plant_to_building,True
"(455911.9565483094, 5734427.3363349335)","(455921.49264970084, 5734441.200474996)",16.82710936027592,806,Street_806,residential,supply,643,70,plant_to_building,True
"(455921.49264970084, 5734441.200474996)","(455938.5759691553, 5734454.631532905)",21.73092543188955,806,Street_806,residential,supply,643,70,plant_to_building,True
"(455938.5759691553, 5734454.631532905)","(455973.57180106145, 5734481.631161082)",44.200544934371656,806,Street_806,residential,supply,643,70,plant_to_building,True
"(455973.57180106145, 5734481.631161082)","(455985.677541666, 5734429.438567859)",53.57812746702602,808,Street_808,residential,supply,643,70,plant_to_building,True
"(455985.677541666, 5734429.438567859)","(455977.67255927064, 5734424.892711716)",9.205680378249955,808,Street_808,residential,supply,643,70,plant_to_building,True
"(455977.67255927064, 5734424.892711716)","(455932.7686692792, 5734412.550262391)",46.569253716466854,808,Street_808,residential,supply,643,70,plant_to_building,True
"(455839.6473503521, 5733589.777451378)","(455962.5884653111, 5733527.949788551)",137.61241818262792,1051,Street_1051,residential,supply,645,70,plant_to_building,True
"(455854.1779794977, 5733872.350842801)","(455982.1227053648, 5733812.748663199)",141.14628117837003,409,Street_409,residential,supply,686,70,plant_to_building,True
"(455924.9410269696, 5734058.45567017)","(455936.7861879132, 5734058.452102534)",11.845161480897543,401,Street_401,residential,supply,689,70,plant_to_building,True
"(455936.7861879132, 5734058.452102534)","(455937.67682256375, 5734033.229576379)",25.238245891785205,660,Street_660,residential,supply,696,70,plant_to_building,True
"(455893.7363362423, 5733686.002501049)","(456008.6830595627, 5733628.294544063)",128.6194289431176,1108,Street_1108,residential,supply,738,70,plant_to_building,True
"(455937.67682256375, 5734033.229576379)","(456000.9916076062, 5734032.675926224)",63.31720566688609,660,Street_660,residential,supply,758,70,plant_to_building,True
"(455936.7861879132, 5734058.452102534)","(456010.8462143111, 5734058.449657811)",74.06002643822056,816,Street_816,residential,supply,762,70,plant_to_building,True
"(455912.6338189888, 5733428.4956664955)","(456017.963882658, 5733374.8540759)",118.20254884791026,1019,Street_1019,residential,supply,790,70,plant_to_building,True
"(455962.5884653111, 5733527.949788551)","(456019.06655659573, 5733499.5387697555)",63.2215215266456,1035,Street_1035,residential,supply,807,70,plant_to_building,True
"(455982.1227053648, 5733812.748663199)","(456046.86111102346, 5733942.550061798)",145.04986813292433,407,Street_407,residential,supply,831,70,plant_to_building,True
"(455898.1814400712, 5733704.849586196)","(456027.4522835008, 5733640.031697461)",144.61089053403632,286,Street_286,residential,supply,842,70,plant_to_building,True
"(456008.6830595627, 5733628.294544063)","(456022.43747075554, 5733623.88112646)",14.445140435430746,1108,Street_1108,residential,supply,850,70,plant_to_building,True
"(456046.86111102346, 5733942.550061798)","(456051.020582602, 5733961.978141653)",19.868354000505658,322,Street_322,residential,supply,870,70,plant_to_building,True
"(456051.020582602, 5733961.978141653)","(456031.7337216672, 5733963.54794983)",19.350640879059085,842,Street_842,residential,supply,870,70,plant_to_building,True
"(456051.020582602, 5733961.978141653)","(456069.5427655369, 5734099.835698654)",139.09628781116382,371,Street_371,residential,supply,896,70,plant_to_building,True
"(456069.5427655369, 5734099.835698654)","(456071.977043541, 5734103.518255992)",4.414401199260403,371,Street_371,residential,supply,896,70,plant_to_building,True
"(456071.977043541, 5734103.518255992)","(456069.5711594584, 5734117.331155911)",14.020858832369033,782,Street_782,residential,supply,896,70,plant_to_building,True
"(456069.5711594584, 5734117.331155911)","(456062.71291701146, 5734124.008889416)",9.572231413159265,783,Street_783,residential,supply,896,70,plant_to_building,True
"(456062.71291701146, 5734124.008889416)","(456047.60901957273, 5734140.524166262)",22.38039515122044,783,Street_783,residential,supply,897,70,plant_to_building,True
"(456027.4522835008, 5733640.031697461)","(456025.816640857, 5733636.1308593685)",4.229877620593103,1101,Street_1101,residential,supply,900,70,plant_to_building,True
"(456025.816640857, 5733636.1308593685)","(456040.97158663085, 5733628.45749273)",16.98684599864382,1101,Street_1101,residential,supply,900,70,plant_to_building,True
"(455973.57180106145, 5734481.631161082)","(456031.40979216364, 5734532.711939476)",77.16527156796923,807,Street_807,residential,supply,910,70,plant_to_building,True
"(456027.4522835008, 5733640.031697461)","(456043.1164772865, 5733632.175930496)",17.523699425785367,1100,Street_1100,residential,supply,912,70,plant_to_building,True
"(456022.43747075554, 5733623.88112646)","(456070.51456603245, 5733600.3600817295)",53.52239377555403,1108,Street_1108,residential,supply,919,70,plant_to_building,True
"(456047.60901957273, 5734140.524166262)","(456034.55361407757, 5734187.675240722)",48.925120698415625,783,Street_783,residential,supply,930,70,plant_to_building,True
"(456034.55361407757, 5734187.675240722)","(456058.11809138657, 5734196.256316168)",25.07826642071005,776,Street_776,residential,supply,930,70,plant_to_building,True
