building_id,building_x,building_y,connection_x,connection_y,distance_to_street,street_segment_id,street_name,heating_load_kw,annual_heat_demand_kwh,building_type,building_area_m2,pipe_type,temperature_c,flow_direction,follows_street,connected_to_supply_pipe,connected_to_return_pipe
400,455809.1824928621,5734185.818997743,455818.195417279,5734178.724651217,11.470072326015325,666,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
400,455809.1824928621,5734185.818997743,455818.195417279,5734178.724651217,11.470072326015325,666,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
415,455823.41060093103,5734204.1549583515,455826.11598731985,5734183.816003567,20.51809438654789,662,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
415,455823.41060093103,5734204.1549583515,455826.11598731985,5734183.816003567,20.51809438654789,662,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
422,455807.79921076517,5733499.242252918,455792.1080119887,5733491.2153564915,17.62511802184336,1018,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
422,455807.79921076517,5733499.242252918,455792.1080119887,5733491.2153564915,17.62511802184336,1018,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
431,455820.71234138485,5734102.7921850635,455821.47119239805,5734084.766259576,18.041891379043616,400,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
431,455820.71234138485,5734102.7921850635,455821.47119239805,5734084.766259576,18.041891379043616,400,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
444,455845.843415741,5734237.825056094,455838.8886629147,5734242.37523851,8.311001557865232,406,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
444,455845.843415741,5734237.825056094,455838.8886629147,5734242.37523851,8.311001557865232,406,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
463,455835.35002249584,5733844.056967781,455854.1779794977,5733872.350842801,33.98581069374791,409,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
463,455835.35002249584,5733844.056967781,455854.1779794977,5733872.350842801,33.98581069374791,409,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
468,455835.546132259,5734065.558356789,455832.6560570223,5734048.052818879,17.742502427954577,400,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
468,455835.546132259,5734065.558356789,455832.6560570223,5734048.052818879,17.742502427954577,400,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
473,455872.6264567855,5734263.08702086,455900.45579768607,5734275.069692866,30.299449555425674,939,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
473,455872.6264567855,5734263.08702086,455900.45579768607,5734275.069692866,30.299449555425674,939,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
478,455853.37597126473,5734251.524836562,455840.59455326205,5734246.419995466,13.76314094850348,406,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
478,455853.37597126473,5734251.524836562,455840.59455326205,5734246.419995466,13.76314094850348,406,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
482,455837.97359934024,5733559.381314122,455839.6473503521,5733589.777451378,30.442184588920068,1052,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
