start_node,end_node,length_m,street_id,street_name,highway_type,pipe_type,building_served,temperature_c,flow_direction,follows_street
"(456337.76495073474, 5734177.384482982)","(456328.7612090092, 5734181.844833702)",10.047989530608122,1067,Street_1067,residential,return,1558,40,building_to_plant,True
"(456349.5629734482, 5734005.561927239)","(456326.0318555378, 5733991.317844231)",27.506497611888733,1076,Street_1076,residential,return,1560,40,building_to_plant,True
"(456363.3600321561, 5733738.50246884)","(456301.98312081734, 5733659.697947348)",99.88632465546836,902,Street_902,residential,return,1582,40,building_to_plant,True
"(456403.4307550562, 5733672.833014946)","(456369.0730674924, 5733626.627439765)",57.57956123969042,460,Street_460,residential,return,1587,40,building_to_plant,True
"(456345.1672679247, 5734173.716608003)","(456337.76495073474, 5734177.384482982)",8.261210967001187,1068,Street_1068,residential,return,1588,40,building_to_plant,True
"(456409.34853660525, 5733805.406369522)","(456359.8411149819, 5733741.091135939)",81.16300922648597,681,Street_681,residential,return,1602,40,building_to_plant,True
"(456388.7438116546, 5734105.213677155)","(456381.9162166678, 5734092.370719966)",14.545019858030107,114,Street_114,residential,return,1609,40,building_to_plant,True
"(456381.9162166678, 5734092.370719966)","(456375.0983204496, 5734095.788779995)",7.626719033112339,447,Street_447,residential,return,1609,40,building_to_plant,True
"(456354.4415736467, 5734025.273193429)","(456342.5583036698, 5734031.237766991)",13.29617400313806,292,Street_292,residential,return,1613,40,building_to_plant,True
"(456342.5583036698, 5734031.237766991)","(456367.0774094549, 5734079.864126926)",54.45832745340335,292,Street_292,residential,return,1613,40,building_to_plant,True
"(456426.1380664829, 5733920.41222688)","(456305.23866443784, 5733980.776147361)",135.1313002626833,787,Street_787,residential,return,1622,40,building_to_plant,True
"(456363.9886216225, 5734284.978673055)","(456415.5491777131, 5734295.243043298)",52.572314395124494,775,Street_775,residential,return,1628,40,building_to_plant,True
"(456415.5491777131, 5734295.243043298)","(456460.93330970523, 5734304.082053377)",46.23686338693071,775,Street_775,residential,return,1628,40,building_to_plant,True
"(456460.93330970523, 5734304.082053377)","(456469.42225898826, 5734299.170365038)",9.807494189084021,491,Street_491,residential,return,1628,40,building_to_plant,True
"(456469.42225898826, 5734299.170365038)","(456474.036807519, 5734289.220324251)",10.968015764688806,1103,Street_1103,residential,return,1628,40,building_to_plant,True
"(456474.036807519, 5734289.220324251)","(456475.93360563886, 5734251.532025726)",37.73599990511527,1104,Street_1104,residential,return,1628,40,building_to_plant,True
"(456475.93360563886, 5734251.532025726)","(456473.77105868305, 5734216.959752593)",34.639842362180694,1104,Street_1104,residential,return,1628,40,building_to_plant,True
"(456473.77105868305, 5734216.959752593)","(456472.58491343755, 5734196.326651929)",20.66716680060969,748,Street_748,residential,return,1628,40,building_to_plant,True
"(456472.58491343755, 5734196.326651929)","(456468.1081224612, 5734118.430022868)",78.02516566117394,436,Street_436,residential,return,1628,40,building_to_plant,True
"(456468.1081224612, 5734118.430022868)","(456467.3034595226, 5734104.40039019)",14.052689263322357,1003,Street_1003,residential,return,1628,40,building_to_plant,True
"(456467.3034595226, 5734104.40039019)","(456465.7433250111, 5734077.241622753)",27.203541467444648,1003,Street_1003,residential,return,1628,40,building_to_plant,True
"(456465.7433250111, 5734077.241622753)","(456426.9958539215, 5734056.232710318)",44.07653477272231,1001,Street_1001,residential,return,1628,40,building_to_plant,True
"(456426.9958539215, 5734056.232710318)","(456350.78006159037, 5734008.99935088)",89.66513951592557,846,Street_846,residential,return,1628,40,building_to_plant,True
"(456423.82341284776, 5734204.912341237)","(456328.7612090092, 5734181.844833702)",97.82092057698637,977,Street_977,residential,return,1632,40,building_to_plant,True
"(456386.9814738291, 5734089.824282032)","(456381.9162166678, 5734092.370719966)",5.6693188530028635,292,Street_292,residential,return,1642,40,building_to_plant,True
"(456397.7196806416, 5733612.798770865)","(456386.34904585214, 5733618.291639899)",12.627863862675738,1026,Street_1026,residential,return,1658,40,building_to_plant,True
"(456386.34904585214, 5733618.291639899)","(456369.0730674924, 5733626.627439765)",19.18189218242687,1025,Street_1025,residential,return,1658,40,building_to_plant,True
"(456416.37107808795, 5734091.160323195)","(456388.7438116546, 5734105.213677155)",30.996170861805915,114,Street_114,residential,return,1660,40,building_to_plant,True
"(456404.7801689346, 5734136.462495407)","(456404.56974374293, 5734128.901018701)",7.5644040574684155,117,Street_117,residential,return,1661,40,building_to_plant,True
