building_id,Sanierungszustand,A_NGF_m2,Ht_W_per_K,Q_kW_mittleres,Q_kW_kaltes,Q_kW_heisses
DEBBAL520000wbw2,teilsaniert,10.58,68.61,1.6853900000000002,1.64642,1.18854
DEBBAL520000wbsy,unsaniert,219.55,348.5,12.75524,12.47644,9.2005
DEBBAL520000wbtd,teilsaniert,3.82,41.22,1.0711600000000001,1.04775,0.77264
DEBBAL520000wbub,unsaniert,174.4,335.96,12.29611,12.02734,8.86932
DEBBAL01000cqSAl,unsaniert,36.47,124.35,4.55117,4.4517,3.28281
DEBBAL01000cHbAD,teilsaniert,17.29,52.8,1.37215,1.3421500000000002,0.98975
DEBBAL520000wbZz,unsaniert,80.68,154.24,5.64518,5.52179,4.07193
DEBBAL520000wbo7,unsaniert,40.99,123.7,4.52738,4.42842,3.26565
DEBBAL520000wbuv,unsaniert,512.66,1018.47,37.275870000000005,36.46109,26.88751
DEBBAL520000wbZT,unsaniert,92.85,169.55,6.20545,6.06981,4.47606
DEBBAL520000wbev,teilsaniert,23.42,144.01,3.74228,3.66048,2.69935
DEBBAL520000wbdb,teilsaniert,118.25,220.38,5.72677,5.6016,4.13079
DEBBAL520000wbdR,teilsaniert,38.15,93.56,2.43134,2.3781999999999996,1.75376
DEBBAL520000wbdS,teilsaniert,59.16,149.5,3.88481,3.79989,2.80215
DEBBAL520000wbdo,teilsaniert,204.26,322.06,8.369159999999999,8.18623,6.036770000000001
DEBBAL520000wbdc,teilsaniert,36.52,99.2,2.57792,2.52157,1.85948
DEBBAL520000watD,teilsaniert,351.86,1047.07,27.20916,26.61442,19.626279999999998
DEBBAL520000wbdi,teilsaniert,0.73,4.96,0.11128,0.10845999999999999,0.07536
DEBBAL520000wbdX,teilsaniert,123.27,271.08,7.044359999999999,6.89038,5.081180000000001
DEBBAL520000wau3,teilsaniert,224.58,800.47,19.66438,19.209709999999998,13.867360000000001
DEBBAL520000wbdk,vollsaniert,17.93,82.56,0.70838,0.68857,0.45574000000000003
DEBBAL520000wbd5,teilsaniert,4.02,24.97,0.50712,0.49293,0.32626
DEBBAL520000wbcU,teilsaniert,43.17,212.51,5.220560000000001,5.09985,3.68155
DEBBAL520000wbde,teilsaniert,83.32,169.48,4.40421,4.30795,3.17681
DEBBAL520000wbdU,teilsaniert,4.94,25.61,0.5199600000000001,0.50542,0.33452
DEBBAL520000wbdG,teilsaniert,115.02,255.46,6.6384099999999995,6.4933000000000005,4.78836
DEBBAL520000wbdI,teilsaniert,12.82,56.29,1.14297,1.111,0.73534
DEBBAL520000wbeu,teilsaniert,23.3,141.11,3.6669,3.58675,2.64498
DEBBAL520000wbdN,teilsaniert,116.3,255.8,6.64729,6.50199,4.794770000000001
DEBBAL010009r09W,vollsaniert,289.74,440.38,4.835319999999999,4.72963,3.4877800000000003
DEBBAL520000wbdF,teilsaniert,27.78,160.17,3.25241,3.1614299999999997,2.09246
DEBBAL520000wbd2,teilsaniert,8.68,50.45,1.0244000000000002,0.99575,0.6590499999999999
DEBBAL01000asrmG,teilsaniert,93.63,195.98,5.09285,4.981529999999999,3.6735300000000004
DEBBAL520000wbeK,vollsaniert,19.83,95.57,1.04935,1.02642,0.75691
DEBBAL520000wbdd,teilsaniert,41.31,107.05,2.78179,2.7209899999999996,2.0065399999999998
DEBBAL520000wbe9,teilsaniert,26.7,180.8,4.69832,4.59562,3.38895
DEBBAL520000wbds,unsaniert,130.6,272.42,9.97052,9.75259,7.1918500000000005
DEBBAL520000wbcR,vollsaniert,15.04,84.05,0.9228500000000001,0.9026799999999999,0.66567
DEBBAL520000wbee,teilsaniert,26.38,168.88,4.3885,4.2925699999999996,3.16547
DEBBAL520000wbeJ,teilsaniert,8.17,54.15,1.40709,1.3763299999999998,1.01495
DEBBAL520000wbdz,teilsaniert,5.68,32.03,0.6504500000000001,0.63226,0.41847
