type,element,name,value,limit,severity
undervoltage,bus_107,n-4626137737,0.844 pu,0.900 pu,critical
undervoltage,bus_126,n-4626137756,0.892 pu,0.900 pu,warning
undervoltage,bus_212,n-4626137845,0.690 pu,0.900 pu,critical
undervoltage,bus_247,n-4626137882,0.638 pu,0.900 pu,critical
undervoltage,bus_301,n-4626137937,0.765 pu,0.900 pu,critical
undervoltage,bus_362,n-4626137999,0.881 pu,0.900 pu,warning
undervoltage,bus_365,n-4626138003,0.715 pu,0.900 pu,critical
undervoltage,bus_419,n-4626138059,0.892 pu,0.900 pu,warning
undervoltage,bus_526,n-4626138174,0.863 pu,0.900 pu,warning
undervoltage,bus_552,n-4626138202,0.763 pu,0.900 pu,critical
undervoltage,bus_641,n-4626138297,0.810 pu,0.900 pu,critical
undervoltage,bus_643,n-4626138299,0.849 pu,0.900 pu,critical
undervoltage,bus_658,n-4626138315,0.808 pu,0.900 pu,critical
undervoltage,bus_691,n-4626138349,0.700 pu,0.900 pu,critical
undervoltage,bus_784,n-4626138447,0.734 pu,0.900 pu,critical
undervoltage,bus_837,n-4626138502,0.826 pu,0.900 pu,critical
undervoltage,bus_844,n-4626138509,0.763 pu,0.900 pu,critical
undervoltage,bus_907,n-4626138574,0.881 pu,0.900 pu,warning
undervoltage,bus_936,n-4626138604,0.810 pu,0.900 pu,critical
undervoltage,bus_953,n-4626138622,0.809 pu,0.900 pu,critical
undervoltage,bus_1089,n-4626138763,0.871 pu,0.900 pu,warning
undervoltage,bus_1130,n-4626138806,0.826 pu,0.900 pu,critical
undervoltage,bus_1239,n-4626138922,0.700 pu,0.900 pu,critical
undervoltage,bus_1271,n-4626138956,0.863 pu,0.900 pu,warning
undervoltage,bus_1302,n-4626138988,0.765 pu,0.900 pu,critical
overload,line_1073,w-854008_-4626138066--4626137870,786.1%,100.0%,critical
overload,line_1074,w-854008_-4626137870--4626138153,787.3%,100.0%,critical
overload,line_1075,w-854008_-4626138153--4626138609,222.8%,100.0%,critical
overload,line_1076,w-854008_-4626138609--4626137848,229.6%,100.0%,critical
overload,line_1077,w-854008_-4626137848--4626138203,229.6%,100.0%,critical
overload,line_1095,w-854027_-4626137970--4626138358,1002.7%,100.0%,critical
overload,line_1096,w-854028_-4626138584--4626138277,1480.6%,100.0%,critical
overload,line_1097,w-854028_-4626138277--4626137970,1480.6%,100.0%,critical
overload,line_1098,w-854028_-4626137970--4626138605,478.0%,100.0%,critical
overload,line_1099,w-854028_-4626138605--4626137930,475.3%,100.0%,critical
overload,line_1100,w-854028_-4626137930--4626139029,475.3%,100.0%,critical
overload,line_1101,w-854028_-4626139029--4626138981,473.8%,100.0%,critical
overload,line_1102,w-854028_-4626138981--4626138677,473.8%,100.0%,critical
overload,line_1103,w-854028_-4626138677--4626138744,473.8%,100.0%,critical
overload,line_1104,w-854028_-4626138744--4626138370,472.6%,100.0%,critical
overload,line_1105,w-854028_-4626138370--4626138587,472.6%,100.0%,critical
overload,line_1106,w-854028_-4626138587--4626137799,469.8%,100.0%,critical
overload,line_1162,w-854048_-4626138942--4626138638,122.7%,100.0%,critical
overload,line_1163,w-854048_-4626138638--4626138346,122.7%,100.0%,critical
overload,line_1164,w-854048_-4626138346--4626138377,124.3%,100.0%,critical
overload,line_1165,w-854048_-4626138377--4626138064,126.2%,100.0%,critical
overload,line_1166,w-854048_-4626138064--4626137760,126.2%,100.0%,critical
overload,line_1174,w-854056_-4626138237--4626138898,231.4%,100.0%,critical
overload,line_1187,w-854066_-4626139935--4626138607,166.5%,100.0%,critical
